index,City,City_Tier,Date,Year,Month,Quarter,Weekday,Is_Weekend,Festive_Season,Card_Type,Exp_Type,Gender,Amount,Amount_Bucket
18,"Greater Mumbai, India",Metro,2014-03-15,2014,3,2014Q1,Saturday,True,False,Platinum,Bills,F,213047.0,High
19,"Greater Mumbai, India",Metro,2013-11-09,2013,11,2013Q4,Saturday,True,True,Platinum,Bills,F,735566.0,Very High
20,"Delhi, India",Metro,2014-04-04,2014,4,2014Q2,Friday,False,False,Signature,Bills,F,366102.0,Very High
21,"Delhi, India",Metro,2014-07-01,2014,7,2014Q3,Tuesday,False,False,Signature,Bills,F,809623.0,Very High
22,"Greater Mumbai, India",Metro,2015-03-27,2015,3,2015Q1,Friday,False,False,Silver,Bills,F,467014.0,Very High
23,"Ahmedabad, India",Metro,2013-10-11,2013,10,2013Q4,Friday,False,True,Gold,Bills,F,668568.0,Very High
24,"Ahmedabad, India",Metro,2014-03-26,2014,3,2014Q1,Wednesday,False,False,Gold,Bills,F,339112.0,Very High
25,"Delhi, India",Metro,2014-09-27,2014,9,2014Q3,Saturday,True,False,Silver,Bills,F,622170.0,Very High
26,"Bengaluru, India",Metro,2014-03-23,2014,3,2014Q1,Sunday,True,False,Platinum,Bills,F,434427.0,Very High
27,"Greater Mumbai, India",Metro,2014-05-17,2014,5,2014Q2,Saturday,True,False,Signature,Bills,F,655846.0,Very High
28,"Bengaluru, India",Metro,2015-01-18,2015,1,2015Q1,Sunday,True,False,Platinum,Bills,F,987935.0,Very High
29,"Delhi, India",Metro,2015-04-18,2015,4,2015Q2,Saturday,True,False,Gold,Bills,F,702774.0,Very High
30,"Bengaluru, India",Metro,2014-07-31,2014,7,2014Q3,Thursday,False,False,Signature,Bills,F,225392.0,High
31,"Greater Mumbai, India",Metro,2015-02-11,2015,2,2015Q1,Wednesday,False,False,Gold,Bills,F,296573.0,Very High
32,"Ahmedabad, India",Metro,2013-11-24,2013,11,2013Q4,Sunday,True,True,Platinum,Bills,F,227702.0,High
33,"Ahmedabad, India",Metro,2014-11-08,2014,11,2014Q4,Saturday,True,True,Gold,Bills,F,864090.0,Very High
34,"Ahmedabad, India",Metro,2014-09-06,2014,9,2014Q3,Saturday,True,False,Signature,Bills,F,440605.0,Very High
35,"Ahmedabad, India",Metro,2015-03-24,2015,3,2015Q1,Tuesday,False,False,Platinum,Bills,F,954660.0,Very High
36,"Ahmedabad, India",Metro,2014-01-01,2014,1,2014Q1,Wednesday,False,False,Signature,Bills,F,255577.0,Very High
37,"Ahmedabad, India",Metro,2014-07-12,2014,7,2014Q3,Saturday,True,False,Silver,Bills,F,337352.0,Very High
38,"Ahmedabad, India",Metro,2014-02-04,2014,2,2014Q1,Tuesday,False,False,Platinum,Bills,F,660244.0,Very High
39,"Delhi, India",Metro,2015-02-03,2015,2,2015Q1,Tuesday,False,False,Silver,Bills,F,401351.0,Very High
40,"Delhi, India",Metro,2013-10-27,2013,10,2013Q4,Sunday,True,True,Platinum,Bills,F,678842.0,Very High
41,"Delhi, India",Metro,2014-05-11,2014,5,2014Q2,Sunday,True,False,Gold,Bills,F,478861.0,Very High
42,"Bengaluru, India",Metro,2014-11-10,2014,11,2014Q4,Monday,False,True,Platinum,Bills,F,804938.0,Very High
43,"Delhi, India",Metro,2015-01-30,2015,1,2015Q1,Friday,False,False,Silver,Bills,F,888341.0,Very High
44,"Bengaluru, India",Metro,2014-04-19,2014,4,2014Q2,Saturday,True,False,Platinum,Bills,F,262414.0,Very High
45,"Bengaluru, India",Metro,2014-09-08,2014,9,2014Q3,Monday,False,False,Gold,Bills,F,249353.0,Very High
46,"Ahmedabad, India",Metro,2013-12-10,2013,12,2013Q4,Tuesday,False,False,Gold,Bills,F,892016.0,Very High
47,"Ahmedabad, India",Metro,2013-11-04,2013,11,2013Q4,Monday,False,True,Platinum,Bills,F,313626.0,Very High
48,"Greater Mumbai, India",Metro,2014-06-01,2014,6,2014Q2,Sunday,True,False,Gold,Bills,F,314366.0,Very High
49,"Greater Mumbai, India",Metro,2014-04-27,2014,4,2014Q2,Sunday,True,False,Signature,Bills,F,551340.0,Very High
50,"Delhi, India",Metro,2013-10-04,2013,10,2013Q4,Friday,False,True,Signature,Bills,F,735037.0,Very High
51,"Greater Mumbai, India",Metro,2014-12-31,2014,12,2014Q4,Wednesday,False,False,Platinum,Bills,F,574023.0,Very High
52,"Ahmedabad, India",Metro,2013-12-21,2013,12,2013Q4,Saturday,True,False,Signature,Bills,F,402300.0,Very High
53,"Delhi, India",Metro,2013-12-07,2013,12,2013Q4,Saturday,True,False,Signature,Bills,F,733125.0,Very High
54,"Greater Mumbai, India",Metro,2014-02-07,2014,2,2014Q1,Friday,False,False,Signature,Bills,F,545977.0,Very High
55,"Bengaluru, India",Metro,2015-05-13,2015,5,2015Q2,Wednesday,False,False,Silver,Bills,F,371572.0,Very High
56,"Ahmedabad, India",Metro,2015-01-28,2015,1,2015Q1,Wednesday,False,False,Signature,Bills,F,326283.0,Very High
57,"Delhi, India",Metro,2014-12-09,2014,12,2014Q4,Tuesday,False,False,Platinum,Bills,F,279051.0,Very High
58,"Delhi, India",Metro,2013-10-08,2013,10,2013Q4,Tuesday,False,True,Platinum,Bills,F,900101.0,Very High
59,"Ahmedabad, India",Metro,2014-04-24,2014,4,2014Q2,Thursday,False,False,Silver,Bills,F,545286.0,Very High
60,"Delhi, India",Metro,2015-01-13,2015,1,2015Q1,Tuesday,False,False,Platinum,Bills,F,722587.0,Very High
61,"Bengaluru, India",Metro,2014-03-14,2014,3,2014Q1,Friday,False,False,Platinum,Bills,F,411062.0,Very High
62,"Delhi, India",Metro,2014-02-27,2014,2,2014Q1,Thursday,False,False,Platinum,Bills,F,660910.0,Very High
63,"Greater Mumbai, India",Metro,2013-10-29,2013,10,2013Q4,Tuesday,False,True,Signature,Bills,F,557370.0,Very High
64,"Greater Mumbai, India",Metro,2014-06-22,2014,6,2014Q2,Sunday,True,False,Platinum,Bills,F,549794.0,Very High
65,"Delhi, India",Metro,2014-01-23,2014,1,2014Q1,Thursday,False,False,Platinum,Bills,F,340133.0,Very High
66,"Bengaluru, India",Metro,2013-11-10,2013,11,2013Q4,Sunday,True,True,Gold,Bills,F,265417.0,Very High
67,"Greater Mumbai, India",Metro,2013-12-13,2013,12,2013Q4,Friday,False,False,Platinum,Bills,F,358185.0,Very High
68,"Greater Mumbai, India",Metro,2014-03-22,2014,3,2014Q1,Saturday,True,False,Gold,Bills,F,991685.0,Very High
69,"Greater Mumbai, India",Metro,2015-01-13,2015,1,2015Q1,Tuesday,False,False,Gold,Bills,F,533762.0,Very High
70,"Greater Mumbai, India",Metro,2014-05-08,2014,5,2014Q2,Thursday,False,False,Gold,Bills,F,829742.0,Very High
71,"Delhi, India",Metro,2014-02-18,2014,2,2014Q1,Tuesday,False,False,Silver,Bills,F,441527.0,Very High
72,"Delhi, India",Metro,2013-10-04,2013,10,2013Q4,Friday,False,True,Signature,Bills,F,550782.0,Very High
73,"Greater Mumbai, India",Metro,2014-06-14,2014,6,2014Q2,Saturday,True,False,Platinum,Bills,F,835872.0,Very High
74,"Ahmedabad, India",Metro,2014-08-24,2014,8,2014Q3,Sunday,True,False,Silver,Bills,F,540497.0,Very High
75,"Greater Mumbai, India",Metro,2015-04-02,2015,4,2015Q2,Thursday,False,False,Platinum,Bills,F,525977.0,Very High
76,"Greater Mumbai, India",Metro,2014-06-27,2014,6,2014Q2,Friday,False,False,Gold,Bills,F,789393.0,Very High
77,"Greater Mumbai, India",Metro,2015-02-06,2015,2,2015Q1,Friday,False,False,Platinum,Bills,F,689478.0,Very High
78,"Bengaluru, India",Metro,2014-03-29,2014,3,2014Q1,Saturday,True,False,Silver,Bills,F,499079.0,Very High
79,"Ahmedabad, India",Metro,2014-04-22,2014,4,2014Q2,Tuesday,False,False,Platinum,Bills,F,665107.0,Very High
80,"Greater Mumbai, India",Metro,2014-10-14,2014,10,2014Q4,Tuesday,False,True,Platinum,Bills,F,998077.0,Very High
81,"Ahmedabad, India",Metro,2014-02-02,2014,2,2014Q1,Sunday,True,False,Silver,Bills,F,934205.0,Very High
82,"Bengaluru, India",Metro,2015-04-01,2015,4,2015Q2,Wednesday,False,False,Platinum,Bills,F,823426.0,Very High
83,"Ahmedabad, India",Metro,2015-01-13,2015,1,2015Q1,Tuesday,False,False,Signature,Bills,F,282910.0,Very High
84,"Bengaluru, India",Metro,2014-03-27,2014,3,2014Q1,Thursday,False,False,Gold,Bills,F,418675.0,Very High
85,"Ahmedabad, India",Metro,2015-02-17,2015,2,2015Q1,Tuesday,False,False,Silver,Bills,F,804949.0,Very High
86,"Bengaluru, India",Metro,2015-02-10,2015,2,2015Q1,Tuesday,False,False,Gold,Bills,F,686601.0,Very High
87,"Greater Mumbai, India",Metro,2014-02-26,2014,2,2014Q1,Wednesday,False,False,Silver,Bills,F,561220.0,Very High
88,"Greater Mumbai, India",Metro,2015-05-07,2015,5,2015Q2,Thursday,False,False,Gold,Bills,F,762534.0,Very High
89,"Bengaluru, India",Metro,2014-01-05,2014,1,2014Q1,Sunday,True,False,Gold,Bills,F,327947.0,Very High
90,"Bengaluru, India",Metro,2014-04-07,2014,4,2014Q2,Monday,False,False,Gold,Bills,F,492986.0,Very High
91,"Delhi, India",Metro,2015-02-20,2015,2,2015Q1,Friday,False,False,Signature,Bills,F,369237.0,Very High
92,"Bengaluru, India",Metro,2015-01-19,2015,1,2015Q1,Monday,False,False,Platinum,Bills,F,983839.0,Very High
93,"Ahmedabad, India",Metro,2014-11-14,2014,11,2014Q4,Friday,False,True,Gold,Bills,F,776716.0,Very High
94,"Greater Mumbai, India",Metro,2014-07-21,2014,7,2014Q3,Monday,False,False,Gold,Bills,F,664632.0,Very High
95,"Bengaluru, India",Metro,2015-02-03,2015,2,2015Q1,Tuesday,False,False,Gold,Bills,F,466727.0,Very High
96,"Bengaluru, India",Metro,2013-11-01,2013,11,2013Q4,Friday,False,True,Gold,Bills,F,896384.0,Very High
97,"Delhi, India",Metro,2013-12-07,2013,12,2013Q4,Saturday,True,False,Signature,Bills,F,712001.0,Very High
98,"Greater Mumbai, India",Metro,2014-08-05,2014,8,2014Q3,Tuesday,False,False,Silver,Bills,F,246865.0,Very High
99,"Greater Mumbai, India",Metro,2015-01-08,2015,1,2015Q1,Thursday,False,False,Signature,Bills,F,858729.0,Very High
100,"Delhi, India",Metro,2015-04-11,2015,4,2015Q2,Saturday,True,False,Platinum,Bills,F,581882.0,Very High
101,"Greater Mumbai, India",Metro,2015-02-15,2015,2,2015Q1,Sunday,True,False,Signature,Bills,F,646426.0,Very High
102,"Bengaluru, India",Metro,2015-03-24,2015,3,2015Q1,Tuesday,False,False,Silver,Bills,F,687088.0,Very High
103,"Bengaluru, India",Metro,2013-10-13,2013,10,2013Q4,Sunday,True,True,Signature,Bills,F,973026.0,Very High
104,"Greater Mumbai, India",Metro,2015-04-24,2015,4,2015Q2,Friday,False,False,Silver,Bills,F,944398.0,Very High
105,"Ahmedabad, India",Metro,2014-11-09,2014,11,2014Q4,Sunday,True,True,Platinum,Bills,F,414422.0,Very High
106,"Bengaluru, India",Metro,2015-02-04,2015,2,2015Q1,Wednesday,False,False,Signature,Bills,F,408503.0,Very High
107,"Bengaluru, India",Metro,2014-03-06,2014,3,2014Q1,Thursday,False,False,Signature,Bills,F,984466.0,Very High
108,"Greater Mumbai, India",Metro,2014-03-27,2014,3,2014Q1,Thursday,False,False,Gold,Bills,F,919997.0,Very High
109,"Greater Mumbai, India",Metro,2013-11-13,2013,11,2013Q4,Wednesday,False,True,Signature,Bills,F,535101.0,Very High
110,"Greater Mumbai, India",Metro,2013-10-22,2013,10,2013Q4,Tuesday,False,True,Signature,Bills,F,978301.0,Very High
111,"Greater Mumbai, India",Metro,2014-09-27,2014,9,2014Q3,Saturday,True,False,Gold,Bills,F,880406.0,Very High
112,"Ahmedabad, India",Metro,2014-11-14,2014,11,2014Q4,Friday,False,True,Silver,Bills,F,447241.0,Very High
113,"Bengaluru, India",Metro,2013-10-21,2013,10,2013Q4,Monday,False,True,Platinum,Bills,F,382191.0,Very High
114,"Bengaluru, India",Metro,2015-05-15,2015,5,2015Q2,Friday,False,False,Silver,Bills,F,775859.0,Very High
115,"Bengaluru, India",Metro,2014-03-21,2014,3,2014Q1,Friday,False,False,Platinum,Bills,F,832637.0,Very High
116,"Bengaluru, India",Metro,2015-04-03,2015,4,2015Q2,Friday,False,False,Platinum,Bills,F,458526.0,Very High
117,"Ahmedabad, India",Metro,2015-04-06,2015,4,2015Q2,Monday,False,False,Signature,Bills,F,440995.0,Very High
118,"Ahmedabad, India",Metro,2013-11-05,2013,11,2013Q4,Tuesday,False,True,Platinum,Bills,F,490128.0,Very High
119,"Delhi, India",Metro,2013-10-07,2013,10,2013Q4,Monday,False,True,Platinum,Bills,F,897079.0,Very High
120,"Delhi, India",Metro,2014-10-31,2014,10,2014Q4,Friday,False,True,Gold,Bills,F,431948.0,Very High
121,"Bengaluru, India",Metro,2014-04-03,2014,4,2014Q2,Thursday,False,False,Silver,Bills,F,228072.0,Very High
122,"Delhi, India",Metro,2013-11-21,2013,11,2013Q4,Thursday,False,True,Gold,Bills,F,757649.0,Very High
123,"Delhi, India",Metro,2014-05-11,2014,5,2014Q2,Sunday,True,False,Signature,Bills,F,919877.0,Very High
124,"Greater Mumbai, India",Metro,2014-05-23,2014,5,2014Q2,Friday,False,False,Gold,Bills,F,605615.0,Very High
125,"Bengaluru, India",Metro,2015-05-22,2015,5,2015Q2,Friday,False,False,Platinum,Bills,F,500852.0,Very High
126,"Greater Mumbai, India",Metro,2015-02-15,2015,2,2015Q1,Sunday,True,False,Signature,Bills,F,488136.0,Very High
127,"Delhi, India",Metro,2014-06-16,2014,6,2014Q2,Monday,False,False,Gold,Bills,F,937828.0,Very High
128,"Delhi, India",Metro,2014-01-27,2014,1,2014Q1,Monday,False,False,Gold,Bills,F,315873.0,Very High
129,"Greater Mumbai, India",Metro,2015-05-20,2015,5,2015Q2,Wednesday,False,False,Silver,Bills,F,567623.0,Very High
130,"Greater Mumbai, India",Metro,2013-10-29,2013,10,2013Q4,Tuesday,False,True,Platinum,Bills,F,555123.0,Very High
131,"Bengaluru, India",Metro,2014-04-20,2014,4,2014Q2,Sunday,True,False,Gold,Bills,F,498843.0,Very High
132,"Greater Mumbai, India",Metro,2014-05-23,2014,5,2014Q2,Friday,False,False,Silver,Bills,F,752610.0,Very High
133,"Greater Mumbai, India",Metro,2015-03-11,2015,3,2015Q1,Wednesday,False,False,Platinum,Bills,F,494540.0,Very High
134,"Delhi, India",Metro,2013-10-27,2013,10,2013Q4,Sunday,True,True,Gold,Bills,F,996754.0,Very High
135,"Ahmedabad, India",Metro,2014-07-14,2014,7,2014Q3,Monday,False,False,Signature,Bills,F,245572.0,Very High
136,"Delhi, India",Metro,2014-04-18,2014,4,2014Q2,Friday,False,False,Gold,Bills,F,974384.0,Very High
137,"Ahmedabad, India",Metro,2014-03-25,2014,3,2014Q1,Tuesday,False,False,Silver,Bills,F,846635.0,Very High
138,"Ahmedabad, India",Metro,2014-09-01,2014,9,2014Q3,Monday,False,False,Silver,Bills,F,635473.0,Very High
139,"Delhi, India",Metro,2015-03-23,2015,3,2015Q1,Monday,False,False,Gold,Bills,F,224510.0,High
140,"Delhi, India",Metro,2015-01-24,2015,1,2015Q1,Saturday,True,False,Silver,Bills,F,478671.0,Very High
141,"Greater Mumbai, India",Metro,2013-10-04,2013,10,2013Q4,Friday,False,True,Gold,Bills,F,990700.0,Very High
142,"Delhi, India",Metro,2014-03-14,2014,3,2014Q1,Friday,False,False,Gold,Bills,F,228565.0,Very High
143,"Bengaluru, India",Metro,2014-01-03,2014,1,2014Q1,Friday,False,False,Silver,Bills,F,297732.0,Very High
144,"Greater Mumbai, India",Metro,2014-12-03,2014,12,2014Q4,Wednesday,False,False,Signature,Bills,F,559262.0,Very High
145,"Bengaluru, India",Metro,2014-07-01,2014,7,2014Q3,Tuesday,False,False,Signature,Bills,F,809907.0,Very High
146,"Ahmedabad, India",Metro,2014-08-21,2014,8,2014Q3,Thursday,False,False,Signature,Bills,F,428316.0,Very High
147,"Ahmedabad, India",Metro,2014-03-05,2014,3,2014Q1,Wednesday,False,False,Signature,Bills,F,275065.0,Very High
148,"Bengaluru, India",Metro,2014-04-20,2014,4,2014Q2,Sunday,True,False,Silver,Bills,F,845653.0,Very High
149,"Ahmedabad, India",Metro,2013-11-20,2013,11,2013Q4,Wednesday,False,True,Signature,Bills,F,236296.0,Very High
150,"Bengaluru, India",Metro,2014-09-25,2014,9,2014Q3,Thursday,False,False,Signature,Bills,F,440572.0,Very High
151,"Ahmedabad, India",Metro,2015-02-06,2015,2,2015Q1,Friday,False,False,Gold,Bills,F,478115.0,Very High
152,"Bengaluru, India",Metro,2013-10-26,2013,10,2013Q4,Saturday,True,True,Gold,Bills,F,897621.0,Very High
153,"Greater Mumbai, India",Metro,2015-05-06,2015,5,2015Q2,Wednesday,False,False,Signature,Bills,F,554281.0,Very High
154,"Delhi, India",Metro,2014-09-30,2014,9,2014Q3,Tuesday,False,False,Silver,Bills,F,245452.0,Very High
155,"Delhi, India",Metro,2014-01-17,2014,1,2014Q1,Friday,False,False,Platinum,Bills,F,365045.0,Very High
156,"Greater Mumbai, India",Metro,2015-01-11,2015,1,2015Q1,Sunday,True,False,Gold,Bills,F,496047.0,Very High
157,"Bengaluru, India",Metro,2015-02-11,2015,2,2015Q1,Wednesday,False,False,Silver,Bills,F,466814.0,Very High
158,"Bengaluru, India",Metro,2014-11-10,2014,11,2014Q4,Monday,False,True,Gold,Bills,F,835177.0,Very High
159,"Delhi, India",Metro,2015-01-12,2015,1,2015Q1,Monday,False,False,Silver,Bills,F,219698.0,High
160,"Bengaluru, India",Metro,2014-10-18,2014,10,2014Q4,Saturday,True,True,Silver,Bills,F,784541.0,Very High
161,"Delhi, India",Metro,2013-10-25,2013,10,2013Q4,Friday,False,True,Signature,Bills,F,576994.0,Very High
162,"Bengaluru, India",Metro,2015-05-15,2015,5,2015Q2,Friday,False,False,Gold,Bills,F,464663.0,Very High
163,"Bengaluru, India",Metro,2014-05-03,2014,5,2014Q2,Saturday,True,False,Platinum,Bills,F,380270.0,Very High
164,"Ahmedabad, India",Metro,2014-10-02,2014,10,2014Q4,Thursday,False,True,Silver,Bills,F,772082.0,Very High
165,"Delhi, India",Metro,2015-04-09,2015,4,2015Q2,Thursday,False,False,Gold,Bills,F,230853.0,Very High
166,"Bengaluru, India",Metro,2013-10-06,2013,10,2013Q4,Sunday,True,True,Signature,Bills,F,677654.0,Very High
167,"Greater Mumbai, India",Metro,2014-02-05,2014,2,2014Q1,Wednesday,False,False,Signature,Bills,F,929247.0,Very High
168,"Ahmedabad, India",Metro,2015-04-09,2015,4,2015Q2,Thursday,False,False,Platinum,Bills,F,851374.0,Very High
169,"Ahmedabad, India",Metro,2014-01-19,2014,1,2014Q1,Sunday,True,False,Platinum,Bills,F,637600.0,Very High
170,"Greater Mumbai, India",Metro,2013-11-09,2013,11,2013Q4,Saturday,True,True,Platinum,Bills,F,681749.0,Very High
171,"Delhi, India",Metro,2014-03-25,2014,3,2014Q1,Tuesday,False,False,Silver,Bills,F,847958.0,Very High
172,"Greater Mumbai, India",Metro,2014-02-18,2014,2,2014Q1,Tuesday,False,False,Gold,Bills,F,877569.0,Very High
173,"Ahmedabad, India",Metro,2013-10-14,2013,10,2013Q4,Monday,False,True,Platinum,Bills,F,450413.0,Very High
174,"Bengaluru, India",Metro,2015-05-01,2015,5,2015Q2,Friday,False,False,Signature,Bills,F,219041.0,High
175,"Bengaluru, India",Metro,2014-12-31,2014,12,2014Q4,Wednesday,False,False,Gold,Bills,F,866572.0,Very High
176,"Greater Mumbai, India",Metro,2014-03-26,2014,3,2014Q1,Wednesday,False,False,Signature,Bills,F,570791.0,Very High
177,"Ahmedabad, India",Metro,2014-04-28,2014,4,2014Q2,Monday,False,False,Silver,Bills,F,705464.0,Very High
178,"Greater Mumbai, India",Metro,2014-04-06,2014,4,2014Q2,Sunday,True,False,Signature,Bills,F,806821.0,Very High
179,"Greater Mumbai, India",Metro,2014-03-27,2014,3,2014Q1,Thursday,False,False,Platinum,Bills,F,515472.0,Very High
180,"Ahmedabad, India",Metro,2014-09-23,2014,9,2014Q3,Tuesday,False,False,Silver,Bills,F,352207.0,Very High
181,"Ahmedabad, India",Metro,2015-03-04,2015,3,2015Q1,Wednesday,False,False,Gold,Bills,F,342761.0,Very High
182,"Bengaluru, India",Metro,2014-02-27,2014,2,2014Q1,Thursday,False,False,Signature,Bills,F,249099.0,Very High
183,"Ahmedabad, India",Metro,2014-08-27,2014,8,2014Q3,Wednesday,False,False,Platinum,Bills,F,995634.0,Very High
184,"Bengaluru, India",Metro,2014-12-12,2014,12,2014Q4,Friday,False,False,Signature,Bills,F,435097.0,Very High
185,"Ahmedabad, India",Metro,2014-06-16,2014,6,2014Q2,Monday,False,False,Platinum,Bills,F,797815.0,Very High
186,"Delhi, India",Metro,2014-01-02,2014,1,2014Q1,Thursday,False,False,Gold,Bills,F,326922.0,Very High
187,"Bengaluru, India",Metro,2014-12-11,2014,12,2014Q4,Thursday,False,False,Gold,Bills,F,396241.0,Very High
188,"Delhi, India",Metro,2014-12-14,2014,12,2014Q4,Sunday,True,False,Gold,Bills,F,486949.0,Very High
189,"Greater Mumbai, India",Metro,2014-01-17,2014,1,2014Q1,Friday,False,False,Gold,Bills,F,333483.0,Very High
190,"Ahmedabad, India",Metro,2013-10-05,2013,10,2013Q4,Saturday,True,True,Platinum,Bills,F,612572.0,Very High
191,"Bengaluru, India",Metro,2015-03-18,2015,3,2015Q1,Wednesday,False,False,Silver,Bills,F,327244.0,Very High
192,"Ahmedabad, India",Metro,2014-02-04,2014,2,2014Q1,Tuesday,False,False,Silver,Bills,F,955468.0,Very High
193,"Greater Mumbai, India",Metro,2015-02-25,2015,2,2015Q1,Wednesday,False,False,Gold,Bills,F,927864.0,Very High
194,"Delhi, India",Metro,2014-03-28,2014,3,2014Q1,Friday,False,False,Signature,Bills,F,555220.0,Very High
195,"Delhi, India",Metro,2014-12-28,2014,12,2014Q4,Sunday,True,False,Silver,Bills,F,952640.0,Very High
196,"Ahmedabad, India",Metro,2014-05-31,2014,5,2014Q2,Saturday,True,False,Silver,Bills,F,695749.0,Very High
197,"Greater Mumbai, India",Metro,2014-08-22,2014,8,2014Q3,Friday,False,False,Platinum,Bills,F,365724.0,Very High
198,"Greater Mumbai, India",Metro,2015-03-03,2015,3,2015Q1,Tuesday,False,False,Platinum,Bills,F,738108.0,Very High
199,"Ahmedabad, India",Metro,2015-01-17,2015,1,2015Q1,Saturday,True,False,Platinum,Bills,F,650785.0,Very High
200,"Delhi, India",Metro,2014-10-23,2014,10,2014Q4,Thursday,False,True,Signature,Bills,F,611486.0,Very High
201,"Bengaluru, India",Metro,2014-08-05,2014,8,2014Q3,Tuesday,False,False,Platinum,Bills,F,965721.0,Very High
202,"Ahmedabad, India",Metro,2014-10-12,2014,10,2014Q4,Sunday,True,True,Gold,Bills,F,413052.0,Very High
203,"Ahmedabad, India",Metro,2014-01-22,2014,1,2014Q1,Wednesday,False,False,Silver,Bills,F,584822.0,Very High
204,"Ahmedabad, India",Metro,2015-03-25,2015,3,2015Q1,Wednesday,False,False,Gold,Bills,F,980146.0,Very High
205,"Ahmedabad, India",Metro,2014-10-10,2014,10,2014Q4,Friday,False,True,Signature,Bills,F,926072.0,Very High
206,"Delhi, India",Metro,2014-04-16,2014,4,2014Q2,Wednesday,False,False,Silver,Bills,F,482394.0,Very High
207,"Bengaluru, India",Metro,2014-02-21,2014,2,2014Q1,Friday,False,False,Signature,Bills,F,718346.0,Very High
208,"Bengaluru, India",Metro,2014-04-24,2014,4,2014Q2,Thursday,False,False,Silver,Bills,F,491598.0,Very High
209,"Delhi, India",Metro,2014-09-07,2014,9,2014Q3,Sunday,True,False,Platinum,Bills,F,848852.0,Very High
210,"Bengaluru, India",Metro,2014-12-28,2014,12,2014Q4,Sunday,True,False,Gold,Bills,F,396139.0,Very High
211,"Ahmedabad, India",Metro,2014-10-13,2014,10,2014Q4,Monday,False,True,Signature,Bills,F,856974.0,Very High
212,"Ahmedabad, India",Metro,2015-04-03,2015,4,2015Q2,Friday,False,False,Signature,Bills,F,855990.0,Very High
213,"Delhi, India",Metro,2015-02-16,2015,2,2015Q1,Monday,False,False,Signature,Bills,F,924776.0,Very High
214,"Greater Mumbai, India",Metro,2014-04-03,2014,4,2014Q2,Thursday,False,False,Signature,Bills,F,204850.0,High
215,"Delhi, India",Metro,2013-11-03,2013,11,2013Q4,Sunday,True,True,Platinum,Bills,F,780669.0,Very High
216,"Greater Mumbai, India",Metro,2014-04-17,2014,4,2014Q2,Thursday,False,False,Signature,Bills,F,887442.0,Very High
217,"Delhi, India",Metro,2014-01-22,2014,1,2014Q1,Wednesday,False,False,Signature,Bills,F,297820.0,Very High
218,"Delhi, India",Metro,2015-03-14,2015,3,2015Q1,Saturday,True,False,Signature,Bills,F,687879.0,Very High
219,"Greater Mumbai, India",Metro,2013-10-13,2013,10,2013Q4,Sunday,True,True,Silver,Bills,F,738456.0,Very High
220,"Delhi, India",Metro,2014-08-24,2014,8,2014Q3,Sunday,True,False,Platinum,Bills,F,378535.0,Very High
